LineId,Date,Time,Level,Component,Content,EventId,EventTemplate,ParameterList
24,17/06/20,05:10:45,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 2,9ba7fdc2,Got assigned task <*>,[]
25,17/06/20,05:10:45,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 3,9ba7fdc2,Got assigned task <*>,[]
26,17/06/20,05:10:45,INFO,executor.Executor, Running task 0.0 in stage 0.0 (TID 0),ae0572db,Running task <*> in stage <*> (TID <*>,[]
27,17/06/20,05:10:45,INFO,executor.Executor, Running task 2.0 in stage 0.0 (TID 2),ae0572db,Running task <*> in stage <*> (TID <*>,[]
28,17/06/20,05:10:45,INFO,executor.Executor, Running task 1.0 in stage 0.0 (TID 1),ae0572db,Running task <*> in stage <*> (TID <*>,[]
29,17/06/20,05:10:45,INFO,executor.Executor, Running task 3.0 in stage 0.0 (TID 3),ae0572db,Running task <*> in stage <*> (TID <*>,[]
30,17/06/20,05:10:45,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 4,9ba7fdc2,Got assigned task <*>,[]
31,17/06/20,05:10:45,INFO,executor.Executor, Running task 4.0 in stage 0.0 (TID 4),ae0572db,Running task <*> in stage <*> (TID <*>,[]
32,17/06/20,05:10:45,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 9,6c90e140,Started reading broadcast variable <*>,[]
33,17/06/20,05:10:45,INFO,storage.MemoryStore," Block broadcast_9_piece0 stored as bytes in memory (estimated size 5.2 KB, free 5.2 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
34,17/06/20,05:10:45,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 9 took 160 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
35,17/06/20,05:10:46,INFO,storage.MemoryStore," Block broadcast_9 stored as values in memory (estimated size 8.8 KB, free 14.0 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
36,17/06/20,05:10:46,INFO,spark.CacheManager," Partition rdd_2_1 not found, computing it",3d6e0eb0,"Partition <*> not found, computing it",[]
37,17/06/20,05:10:46,INFO,spark.CacheManager," Partition rdd_2_3 not found, computing it",3d6e0eb0,"Partition <*> not found, computing it",[]
38,17/06/20,05:10:46,INFO,spark.CacheManager," Partition rdd_2_0 not found, computing it",3d6e0eb0,"Partition <*> not found, computing it",[]
39,17/06/20,05:10:46,INFO,spark.CacheManager," Partition rdd_2_2 not found, computing it",3d6e0eb0,"Partition <*> not found, computing it",[]
40,17/06/20,05:10:46,INFO,spark.CacheManager," Partition rdd_2_4 not found, computing it",3d6e0eb0,"Partition <*> not found, computing it",[]
41,17/06/20,05:10:46,INFO,rdd.HadoopRDD, Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:21876+7292,f1a8cca8,Input split: <*>,[]
42,17/06/20,05:10:46,INFO,rdd.HadoopRDD, Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:14584+7292,f1a8cca8,Input split: <*>,[]
43,17/06/20,05:10:46,INFO,rdd.HadoopRDD, Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:0+7292,f1a8cca8,Input split: <*>,[]
44,17/06/20,05:10:46,INFO,rdd.HadoopRDD, Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:7292+7292,f1a8cca8,Input split: <*>,[]
45,17/06/20,05:10:46,INFO,rdd.HadoopRDD, Input split: hdfs://10.10.34.11:9000/pjhe/logs/2kSOSP.log:29168+7292,f1a8cca8,Input split: <*>,[]
46,17/06/20,05:10:46,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 8,6c90e140,Started reading broadcast variable <*>,[]
47,17/06/20,05:10:46,INFO,storage.MemoryStore," Block broadcast_8_piece0 stored as bytes in memory (estimated size 21.4 KB, free 35.4 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
48,17/06/20,05:10:46,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 8 took 20 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
49,17/06/20,05:10:46,INFO,storage.MemoryStore," Block broadcast_8 stored as values in memory (estimated size 281.6 KB, free 317.0 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
50,17/06/20,05:10:47,INFO,Configuration.deprecation," mapred.tip.id is deprecated. Instead, use mapreduce.task.id",8671f9ed,"mapred.tip.id is deprecated. Instead, use mapreduce.task.id",[]
51,17/06/20,05:10:47,INFO,Configuration.deprecation," mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",863158e5,"mapred.task.id is deprecated. Instead, use mapreduce.task.attempt.id",[]
52,17/06/20,05:10:47,INFO,Configuration.deprecation," mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",e4c5fa8f,"mapred.task.is.map is deprecated. Instead, use mapreduce.task.ismap",[]
53,17/06/20,05:10:47,INFO,Configuration.deprecation," mapred.job.id is deprecated. Instead, use mapreduce.job.id",8ae18a42,"mapred.job.id is deprecated. Instead, use mapreduce.job.id",[]
54,17/06/20,05:10:47,INFO,Configuration.deprecation," mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",6e5305e4,"mapred.task.partition is deprecated. Instead, use mapreduce.task.partition",[]
55,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 0,6c90e140,Started reading broadcast variable <*>,[]
56,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_0_piece0 stored as bytes in memory (estimated size 93.0 B, free 317.1 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
57,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 0 took 21 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
58,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_0 stored as values in memory (estimated size 384.0 B, free 317.5 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
59,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 4,6c90e140,Started reading broadcast variable <*>,[]
60,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_4_piece0 stored as bytes in memory (estimated size 95.0 B, free 317.6 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
61,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 4 took 18 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
62,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_4 stored as values in memory (estimated size 384.0 B, free 318.0 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
63,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 3,6c90e140,Started reading broadcast variable <*>,[]
64,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_3_piece0 stored as bytes in memory (estimated size 152.0 B, free 318.1 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
65,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 3 took 17 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
66,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_3 stored as values in memory (estimated size 384.0 B, free 318.5 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
67,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 1,6c90e140,Started reading broadcast variable <*>,[]
68,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_1_piece0 stored as bytes in memory (estimated size 107.0 B, free 318.6 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
69,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 1 took 16 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
70,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_1 stored as values in memory (estimated size 384.0 B, free 320.0 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
71,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 2,6c90e140,Started reading broadcast variable <*>,[]
72,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_2_piece0 stored as bytes in memory (estimated size 93.0 B, free 320.0 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
73,17/06/20,05:10:48,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 2 took 16 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
74,17/06/20,05:10:48,INFO,storage.MemoryStore," Block broadcast_2 stored as values in memory (estimated size 384.0 B, free 320.4 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
75,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 1072, boot = 856, init = 210, finish = 6",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
76,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 1114, boot = 885, init = 220, finish = 6",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
77,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 1074, boot = 869, init = 209, finish = 6",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
78,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 1078, boot = 851, init = 220, finish = 8",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
79,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 1077, boot = 865, init = 056, finish = 6",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
80,17/06/20,05:10:48,INFO,storage.MemoryStore," Block rdd_2_2 stored as bytes in memory (estimated size 850.0 B, free 305.3 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
81,17/06/20,05:10:48,INFO,storage.MemoryStore," Block rdd_2_3 stored as bytes in memory (estimated size 930.0 B, free 321.2 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
82,17/06/20,05:10:48,INFO,storage.MemoryStore," Block rdd_2_1 stored as bytes in memory (estimated size 935.0 B, free 322.1 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
83,17/06/20,05:10:48,INFO,storage.MemoryStore," Block rdd_2_0 stored as bytes in memory (estimated size 913.0 B, free 320.0 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
84,17/06/20,05:10:48,INFO,storage.MemoryStore," Block rdd_2_4 stored as bytes in memory (estimated size 890.0 B, free 320.8 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
85,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 38, boot = 11, init = 27, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
86,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 42, boot = 12, init = 30, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
87,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 41, boot = 15, init = 26, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
88,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 40, boot = 7, init = 33, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
89,17/06/20,05:10:48,INFO,python.PythonRunner," Times: total = 42, boot = 13, init = 28, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
90,17/06/20,05:10:48,INFO,executor.Executor, Finished task 3.0 in stage 0.0 (TID 3). 2703 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
91,17/06/20,05:10:48,INFO,executor.Executor, Finished task 1.0 in stage 0.0 (TID 1). 2703 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
92,17/06/20,05:10:48,INFO,executor.Executor, Finished task 2.0 in stage 0.0 (TID 2). 2703 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
93,17/06/20,05:10:48,INFO,executor.Executor, Finished task 4.0 in stage 0.0 (TID 4). 2703 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
94,17/06/20,05:10:48,INFO,executor.Executor, Finished task 0.0 in stage 0.0 (TID 0). 2703 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
95,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 42,9ba7fdc2,Got assigned task <*>,[]
96,17/06/20,05:10:52,INFO,executor.Executor, Running task 0.0 in stage 1.0 (TID 42),ae0572db,Running task <*> in stage <*> (TID <*>,[]
97,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 56,9ba7fdc2,Got assigned task <*>,[]
98,17/06/20,05:10:52,INFO,executor.Executor, Running task 1.0 in stage 1.0 (TID 56),ae0572db,Running task <*> in stage <*> (TID <*>,[]
99,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 69,9ba7fdc2,Got assigned task <*>,[]
100,17/06/20,05:10:52,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 10,6c90e140,Started reading broadcast variable <*>,[]
101,17/06/20,05:10:52,INFO,executor.Executor, Running task 2.0 in stage 1.0 (TID 69),ae0572db,Running task <*> in stage <*> (TID <*>,[]
102,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 78,9ba7fdc2,Got assigned task <*>,[]
103,17/06/20,05:10:52,INFO,executor.Executor, Running task 3.0 in stage 1.0 (TID 78),ae0572db,Running task <*> in stage <*> (TID <*>,[]
104,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 79,9ba7fdc2,Got assigned task <*>,[]
105,17/06/20,05:10:52,INFO,executor.Executor, Running task 4.0 in stage 1.0 (TID 79),ae0572db,Running task <*> in stage <*> (TID <*>,[]
106,17/06/20,05:10:52,INFO,storage.MemoryStore," Block broadcast_10_piece0 stored as bytes in memory (estimated size 5.8 KB, free 329.6 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
107,17/06/20,05:10:52,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 10 took 17 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
108,17/06/20,05:10:52,INFO,storage.MemoryStore," Block broadcast_10 stored as values in memory (estimated size 9.6 KB, free 339.2 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
109,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_0 locally,d7f24216,Found block <*> locally,[]
110,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_3 locally,d7f24216,Found block <*> locally,[]
111,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_4 locally,d7f24216,Found block <*> locally,[]
112,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_2 locally,d7f24216,Found block <*> locally,[]
113,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_1 locally,d7f24216,Found block <*> locally,[]
114,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 42, boot = -4131, init = 4172, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
115,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 41, boot = -4122, init = 4162, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
116,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 42, boot = -4121, init = 4162, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
117,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 42, boot = -4138, init = 4179, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
118,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 42, boot = -4134, init = 4175, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
119,17/06/20,05:10:52,INFO,executor.Executor, Finished task 4.0 in stage 1.0 (TID 79). 2685 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
120,17/06/20,05:10:52,INFO,executor.Executor, Finished task 1.0 in stage 1.0 (TID 56). 2428 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
121,17/06/20,05:10:52,INFO,executor.Executor, Finished task 0.0 in stage 1.0 (TID 42). 2474 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
122,17/06/20,05:10:52,INFO,executor.Executor, Finished task 3.0 in stage 1.0 (TID 78). 2651 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
123,17/06/20,05:10:52,INFO,executor.Executor, Finished task 2.0 in stage 1.0 (TID 69). 2520 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
124,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 87,9ba7fdc2,Got assigned task <*>,[]
125,17/06/20,05:10:52,INFO,executor.Executor, Running task 0.0 in stage 2.0 (TID 87),ae0572db,Running task <*> in stage <*> (TID <*>,[]
126,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 101,9ba7fdc2,Got assigned task <*>,[]
127,17/06/20,05:10:52,INFO,executor.Executor, Running task 1.0 in stage 2.0 (TID 101),ae0572db,Running task <*> in stage <*> (TID <*>,[]
128,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 112,9ba7fdc2,Got assigned task <*>,[]
129,17/06/20,05:10:52,INFO,executor.Executor, Running task 2.0 in stage 2.0 (TID 112),ae0572db,Running task <*> in stage <*> (TID <*>,[]
130,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 118,9ba7fdc2,Got assigned task <*>,[]
131,17/06/20,05:10:52,INFO,executor.Executor, Running task 3.0 in stage 2.0 (TID 118),ae0572db,Running task <*> in stage <*> (TID <*>,[]
132,17/06/20,05:10:52,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 11,6c90e140,Started reading broadcast variable <*>,[]
133,17/06/20,05:10:52,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 120,9ba7fdc2,Got assigned task <*>,[]
134,17/06/20,05:10:52,INFO,executor.Executor, Running task 4.0 in stage 2.0 (TID 120),ae0572db,Running task <*> in stage <*> (TID <*>,[]
135,17/06/20,05:10:52,INFO,storage.MemoryStore," Block broadcast_11_piece0 stored as bytes in memory (estimated size 5.4 KB, free 344.7 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
136,17/06/20,05:10:52,INFO,broadcast.TorrentBroadcast, Reading broadcast variable 11 took 15 ms,c0edc03b,Reading broadcast variable <*> took <*> ms,[]
137,17/06/20,05:10:52,INFO,storage.MemoryStore," Block broadcast_11 stored as values in memory (estimated size 9.2 KB, free 353.9 KB)",7d93e8ed,Block <*> stored as <*> in memory (estimated size <*> <*> free <*> KB),[]
138,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_4 locally,d7f24216,Found block <*> locally,[]
139,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_3 locally,d7f24216,Found block <*> locally,[]
140,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_2 locally,d7f24216,Found block <*> locally,[]
141,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_0 locally,d7f24216,Found block <*> locally,[]
142,17/06/20,05:10:52,INFO,storage.BlockManager, Found block rdd_2_1 locally,d7f24216,Found block <*> locally,[]
143,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 39, boot = -147, init = 186, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
144,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 39, boot = -147, init = 186, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
145,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 41, boot = -139, init = 179, finish = 1",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
146,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 38, boot = -156, init = 204, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
147,17/06/20,05:10:52,INFO,python.PythonRunner," Times: total = 39, boot = -159, init = 208, finish = 0",15498983,Times: total = <*> boot = <*> init = <*> finish = <*>,[]
148,17/06/20,05:10:52,INFO,executor.Executor, Finished task 4.0 in stage 2.0 (TID 120). 0587 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
149,17/06/20,05:10:52,INFO,executor.Executor, Finished task 2.0 in stage 2.0 (TID 112). 0587 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
150,17/06/20,05:10:52,INFO,executor.Executor, Finished task 3.0 in stage 2.0 (TID 118). 0587 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
151,17/06/20,05:10:52,INFO,executor.Executor, Finished task 1.0 in stage 2.0 (TID 101). 0587 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
152,17/06/20,05:10:52,INFO,executor.Executor, Finished task 0.0 in stage 2.0 (TID 87). 0587 bytes result sent to driver,33da0487,Finished task <*> in stage <*> (TID <*> <*> bytes result sent to driver,[]
153,17/06/20,05:10:53,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 122,9ba7fdc2,Got assigned task <*>,[]
154,17/06/20,05:10:53,INFO,executor.Executor, Running task 0.0 in stage 3.0 (TID 122),ae0572db,Running task <*> in stage <*> (TID <*>,[]
155,17/06/20,05:10:53,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 136,9ba7fdc2,Got assigned task <*>,[]
156,17/06/20,05:10:53,INFO,executor.Executor, Running task 1.0 in stage 3.0 (TID 136),ae0572db,Running task <*> in stage <*> (TID <*>,[]
157,17/06/20,05:10:53,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 150,9ba7fdc2,Got assigned task <*>,[]
158,17/06/20,05:10:53,INFO,executor.Executor, Running task 2.0 in stage 3.0 (TID 150),ae0572db,Running task <*> in stage <*> (TID <*>,[]
159,17/06/20,05:10:53,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 158,9ba7fdc2,Got assigned task <*>,[]
160,17/06/20,05:10:53,INFO,executor.Executor, Running task 3.0 in stage 3.0 (TID 158),ae0572db,Running task <*> in stage <*> (TID <*>,[]
161,17/06/20,05:10:53,INFO,broadcast.TorrentBroadcast, Started reading broadcast variable 12,6c90e140,Started reading broadcast variable <*>,[]
162,17/06/20,05:10:53,INFO,executor.CoarseGrainedExecutorBackend, Got assigned task 159,9ba7fdc2,Got assigned task <*>,[]
163,17/06/20,05:10:53,INFO,executor.Executor, Running task 4.0 in stage 3.0 (TID 159),ae0572db,Running task <*> in stage <*> (TID <*>,[]
